ChangeType, SourceCodeEntity, SourceCodeChange, NewSourceCodeEntity
PARAMETER_TYPE_CHANGE,SIMPLE_TYPE,Update,SIMPLE_TYPE
PARAMETER_TYPE_CHANGE,SIMPLE_TYPE,Update,SIMPLE_TYPE
PARAMETER_TYPE_CHANGE,SIMPLE_TYPE,Update,SIMPLE_TYPE
PARAMETER_DELETE,PARAMETER,Delete,
ATTRIBUTE_TYPE_CHANGE,SIMPLE_TYPE,Update,SIMPLE_TYPE
DOC_INSERT,JAVADOC,Insert,
ATTRIBUTE_RENAMING,FIELD,Update,FIELD
REMOVING_ATTRIBUTE_MODIFIABILITY,MODIFIER,Insert,
ATTRIBUTE_RENAMING,FIELD,Update,FIELD
REMOVING_ATTRIBUTE_MODIFIABILITY,MODIFIER,Insert,
ATTRIBUTE_RENAMING,FIELD,Update,FIELD
REMOVING_ATTRIBUTE_MODIFIABILITY,MODIFIER,Insert,
DOC_INSERT,JAVADOC,Insert,
DECREASING_ACCESSIBILITY_CHANGE,MODIFIER,Insert,
DECREASING_ACCESSIBILITY_CHANGE,MODIFIER,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
DOC_INSERT,JAVADOC,Insert,
RETURN_TYPE_INSERT,SIMPLE_TYPE,Insert,
DOC_UPDATE,JAVADOC,Update,JAVADOC
PARAMETER_RENAMING,PARAMETER,Update,PARAMETER
PARAMETER_INSERT,PARAMETER,Insert,
PARAMETER_DELETE,PARAMETER,Delete,
DOC_UPDATE,JAVADOC,Update,JAVADOC
RETURN_TYPE_DELETE,SIMPLE_TYPE,Delete,
DOC_UPDATE,JAVADOC,Update,JAVADOC
PARAMETER_DELETE,PARAMETER,Delete,
DOC_UPDATE,JAVADOC,Update,JAVADOC
DOC_DELETE,JAVADOC,Delete,
DOC_DELETE,JAVADOC,Delete,
DOC_DELETE,JAVADOC,Delete,
DOC_DELETE,JAVADOC,Delete,
DOC_UPDATE,JAVADOC,Update,JAVADOC
PARAMETER_TYPE_CHANGE,SIMPLE_TYPE,Update,PARAMETERIZED_TYPE
DOC_UPDATE,JAVADOC,Update,JAVADOC
ATTRIBUTE_TYPE_CHANGE,SIMPLE_TYPE,Update,PARAMETERIZED_TYPE
INCREASING_ACCESSIBILITY_CHANGE,MODIFIER,Delete,
RETURN_TYPE_INSERT,SIMPLE_TYPE,Insert,
DOC_UPDATE,JAVADOC,Update,JAVADOC
PARAMETER_TYPE_CHANGE,SIMPLE_TYPE,Update,PARAMETERIZED_TYPE
DOC_DELETE,JAVADOC,Delete,
DOC_DELETE,JAVADOC,Delete,
DOC_UPDATE,JAVADOC,Update,JAVADOC
PARAMETER_RENAMING,PARAMETER,Update,PARAMETER
