ChangeType,SourceCodeEntity,SourceCodeChange,NewSourceCodeEntity,argouml,jedit,jdt
PARENT_INTERFACE_CHANGE,QUALIFIED_TYPE,Update,QUALIFIED_TYPE,0,0,0.0225360576923077
PARENT_INTERFACE_INSERT,QUALIFIED_TYPE,Insert,,0.250490826619728,0,0.00375600961538462
ATTRIBUTE_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,SINGLE_TYPE,0,0.0179243592041585,0
PARAMETER_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,SINGLE_TYPE,0,0.0179243592041585,0
PARENT_CLASS_INSERT,QUALIFIED_TYPE,Insert,,0.00677002234107373,0,0
ADDING_CLASS_DERIVABILITY,MODIFIER,Delete,,0,0.0716974368166338,0.0225360576923077
ATTRIBUTE_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,ARRAY_TYPE,0,0.0179243592041585,0
ATTRIBUTE_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,PARAMETERIZED_TYPE,0.23695078193758,0.304714106470694,0.0525841346153846
ATTRIBUTE_TYPE_CHANGE,QUALIFIED_TYPE,Update,PARAMETERIZED_TYPE,0,0.0537730776124754,0
ATTRIBUTE_TYPE_CHANGE,QUALIFIED_TYPE,Update,QUALIFIED_TYPE,0,0.0358487184083169,0.00375600961538462
INCREASING_ACCESSIBILITY_CHANGE,MODIFIER,Insert,,1.20506397671112,2.61695644380713,1.46108774038462
PARAMETER_TYPE_CHANGE,ARRAY_TYPE,Update,PARAMETERIZED_TYPE,0,0.0179243592041585,0
PARAMETER_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,ARRAY_TYPE,0,0.0179243592041585,0
PARAMETER_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,PARAMETERIZED_TYPE,0.473901563875161,0.304714106470694,0.0939002403846154
PARAMETER_TYPE_CHANGE,QUALIFIED_TYPE,Update,QUALIFIED_TYPE,0,0.304714106470694,0.138972355769231
PARENT_CLASS_CHANGE,PARAMETERIZED_TYPE,Update,PARAMETERIZED_TYPE,0,0.0179243592041585,0.00375600961538462
PARENT_INTERFACE_CHANGE,PARAMETERIZED_TYPE,Update,PARAMETERIZED_TYPE,0,0.0179243592041585,0
REMOVING_CLASS_DERIVABILITY,MODIFIER,Insert,,0.23695078193758,0.0358487184083169,0.0300480769230769
RETURN_TYPE_CHANGE,PARAMETERIZED_TYPE,Update,PARAMETERIZED_TYPE,0.0541601787285898,0.0358487184083169,0.0563401442307692
ADDING_ATTRIBUTE_MODIFIABILITY,MODIFIER,Delete,,0.74470245751811,0.430184620899803,2.197265625
ADDING_METHOD_OVERRIDABILITY,MODIFIER,Delete,,0.358811184076907,1.82828463882416,0.999098557692308
ATTRIBUTE_RENAMING,FIELD,Update,FIELD,13.9327059779297,4.31977056820219,5.49879807692308
ATTRIBUTE_TYPE_CHANGE,ARRAY_TYPE,Update,ARRAY_TYPE,0.0812402680928847,0.143394873633268,0.29296875
ATTRIBUTE_TYPE_CHANGE,ARRAY_TYPE,Update,PARAMETERIZED_TYPE,0.0135400446821475,0,0
ATTRIBUTE_TYPE_CHANGE,ARRAY_TYPE,Update,SINGLE_TYPE,0.0338501117053686,0.161319232837426,0.09765625
ATTRIBUTE_TYPE_CHANGE,QUALIFIED_TYPE,Update,SINGLE_TYPE,0.0338501117053686,0.215092310449901,0
ATTRIBUTE_TYPE_CHANGE,SINGLE_TYPE,Update,ARRAY_TYPE,0.00677002234107373,0.250941028858218,0.165264423076923
ATTRIBUTE_TYPE_CHANGE,SINGLE_TYPE,Update,PARAMETERIZED_TYPE,0.561911854309119,0.591503853737229,0.0262920673076923
